         183759 function calls (179708 primitive calls) in 0.294 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        9    0.000    0.000    0.000    0.000 typing.py:801(__init__)
        1    0.000    0.000    0.001    0.001 _add_newdocs_scalars.py:1(<module>)
       13    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       10    0.000    0.000    0.000    0.000 typing.py:1350(__init_subclass__)
       74    0.000    0.000    0.001    0.000 sre_parse.py:97(closegroup)
       76    0.000    0.000    0.000    0.000 sre_compile.py:619(isstring)
       18    0.000    0.000    0.000    0.000 os.py:675(__getitem__)
       30    0.000    0.000    0.000    0.000 sre_compile.py:516(_get_charset_prefix)
      119    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _shape_base_impl.py:1(<module>)
        6    0.000    0.000    0.000    0.000 rq.py:717(__init__)
        3    0.000    0.000    0.000    0.000 os.py:620(get_exec_path)
       35    0.000    0.000    0.000    0.000 genericpath.py:39(isdir)
        1    0.000    0.000    0.005    0.005 constructor.py:1(<module>)
       20    0.000    0.000    0.000    0.000 enum.py:82(__init__)
       59    0.000    0.000    0.000    0.000 rq.py:350(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
        1    0.000    0.000    0.024    0.024 loader.py:1(<module>)
      107    0.000    0.000    0.000    0.000 posixpath.py:41(_get_sep)
      9/8    0.000    0.000    0.047    0.006 <frozen importlib._bootstrap_external>:1174(create_module)
       90    0.000    0.000    0.000    0.000 sre_compile.py:81(_combine_flags)
        1    0.000    0.000    0.004    0.004 _internal.py:1(<module>)
      122    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
       38    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
        7    0.000    0.000    0.000    0.000 posixpath.py:338(normpath)
       72    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
       93    0.000    0.000    0.000    0.000 typing.py:223(_check_generic)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:421(spec_from_loader)
        1    0.000    0.000    0.003    0.003 _methods.py:1(<module>)
       38    0.000    0.000    0.000    0.000 sre_parse.py:928(fix_flags)
      160    0.000    0.000    0.000    0.000 rq.py:120(__init__)
        1    0.000    0.000    0.001    0.001 _polynomial_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _nanfunctions_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tools.py:1(<module>)
        1    0.000    0.000    0.005    0.005 subprocess.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _type_check_impl.py:1(<module>)
       31    0.000    0.000    0.000    0.000 sre_parse.py:296(_class_escape)
      147    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.000    0.000 request.py:659(QueryFont)
        1    0.000    0.000    0.001    0.001 models.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base.py:34(MSSBase)
        1    0.000    0.000    0.001    0.001 pickle.py:197(<listcomp>)
        2    0.000    0.000    0.000    0.000 __init__.py:1088(emit)
      328    0.000    0.000    0.000    0.000 enum.py:796(name)
